countries	european_group	nat_party_code	sex	age_code
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
1	0	0	1.0	0
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
0	1	1	0.0	3
